theta,t_count,h_count,s_count,w_count
0.3766588813611004,98,99,48,1
3.3297105882526932,98,99,52,3
2.6200500581888573,98,99,57,6
4.1669886166246437,98,98,48,1
0.9492258351755619,96,97,42,0
1.9201292870016833,96,97,51,7
0.7303128546369965,98,98,53,2
0.3454360728924932,96,96,44,0
4.7482510390972115,98,99,60,3
0.2425506271414264,96,97,53,5
2.4154422150859935,98,99,48,7
4.0328673180468995,100,101,46,4
6.0324014826589947,100,101,47,7
2.6456498385391960,98,99,46,3
2.8781508151507533,100,101,41,7
5.4174404027937149,94,95,46,3
4.8710685750383647,98,99,50,3
5.3921960437255310,100,100,52,4
4.6849291755362454,100,100,57,5
1.8092031660801999,98,99,53,6
3.5399335571681756,100,100,48,0
0.2734848066297061,96,97,42,2
4.1969772527287210,96,96,45,7
1.4918549672148949,96,97,61,1
2.3946013238023789,98,99,50,3
1.9918975559579917,98,99,51,2
0.2708706209383197,96,96,51,5
2.2497925981085714,96,96,44,4
0.0823644812759596,100,101,53,5
0.1322195149906345,100,101,55,5
2.7906492153408147,94,95,57,2
0.2268430435132052,98,99,50,3
1.9069995378242302,98,99,56,5
0.0785967402396042,96,96,52,0
4.2544011514351325,98,99,58,3
2.8618559857372663,98,99,52,1
2.4050151701178879,100,101,55,7
1.0785915399987447,102,103,52,5
1.0006440034580517,100,101,49,5
0.8091313722423056,100,101,53,1
2.6500062067224750,100,100,48,4
2.4791359966792035,98,99,54,5
1.7197693941999892,94,94,49,2
1.3879035017303156,98,99,50,1
6.2732241133044813,96,97,45,1
0.1078580014466225,100,101,49,7
4.5916475535046848,100,100,63,3
1.0458457108414116,100,101,59,5
3.8677152446950722,96,97,49,7
4.6105024595418813,96,96,50,6
0.3185495120860949,98,99,56,5
5.5530788124212318,96,97,43,5
5.7756116501168506,100,100,52,6
4.4719015637251465,98,99,51,0
3.1500331947341937,96,97,43,7
5.5391071993871739,98,99,49,4
1.2907281700253774,94,95,56,5
0.6571837971507072,100,100,46,0
3.8418061413172873,96,97,55,5
2.4435960748242249,98,99,53,6
3.4405968426788260,96,97,52,2
3.3663906742839442,98,99,40,3
3.7580113316107893,96,96,44,0
3.1856836649721845,98,98,49,6
0.6210084641463256,96,97,56,6
4.4960867119648151,96,97,44,2
2.9746350625746207,96,97,50,4
